time,w0,w1,w2,w3,p1,p2,p3
9:38:04,876.1972718,863.2493366,865.5888759,899.316019,189.41,189.08,184.26
9:38:06,877.454888,863.962548,867.0799129,900.8756278,189.48,189.04,184.23
9:38:08,877.7023976,866.2982305,865.3777852,901.0044938,189.19,189.32,184.24
9:38:10,879.3914832,866.2779496,871.9048417,899.5935765,189.43,188.63,184.69
9:38:12,879.0447468,865.3281279,871.4055956,899.986783,189.51,188.65,184.58
9:38:14,879.1016071,866.6632865,869.0366896,901.1862279,189.33,188.99,184.42
9:38:16,879.1618122,866.2441481,870.7857263,900.0495638,189.4,188.75,184.59
9:38:18,877.8740934,865.6695229,868.8088457,898.7443828,189.3,188.85,184.59
9:38:20,878.5876346,864.7061806,871.3519853,899.2928892,189.54,188.59,184.62
9:38:22,878.7916627,867.3055147,871.0738817,897.6308485,189.2,188.66,184.88
9:38:24,878.9321411,866.2847099,870.6550511,899.458102,189.36,188.74,184.64
9:38:26,879.6467971,867.1162264,871.2548166,900.1718213,189.34,188.76,184.65
9:38:28,878.0424445,866.3861144,868.5541967,898.7939466,189.22,188.91,184.61
9:38:30,878.2186,867.1229867,868.296197,898.850119,189.14,188.97,184.63
9:38:32,879.3078651,865.9365546,871.9618026,899.6233148,189.46,188.61,184.67
9:38:34,879.9088005,867.1365073,871.3620372,900.8227597,189.38,188.78,184.59
9:38:36,877.9008512,865.6762832,868.9060144,898.721253,189.3,188.84,184.6
9:38:38,878.085926,866.3185114,870.4506618,897.1186889,189.24,188.65,184.85
9:38:40,878.8161907,866.9303182,869.3516502,899.7687021,189.25,188.91,184.58
9:38:42,878.4672245,867.2277713,871.0068688,896.8113931,189.16,188.62,184.95
9:38:44,879.1361693,866.6092041,869.9447144,900.4460745,189.34,188.87,184.53
9:38:46,878.4672245,867.0824249,870.3903501,897.5614592,189.18,188.71,184.85
9:38:48,878.7414919,867.5252244,869.5560395,898.7642083,189.16,188.87,184.71
9:38:50,879.2420855,866.6328652,871.1241414,899.573751,189.36,188.72,184.67
9:38:52,879.7783563,868.3533607,871.5295694,899.0814169,189.19,188.73,184.82
9:38:54,878.5207401,867.4170596,869.8575976,897.9183188,189.14,188.8,184.8
9:38:56,878.5508426,867.3325559,871.1207908,896.8444356,189.16,188.62,184.96
9:38:58,878.8507528,867.106086,869.4555202,899.5968808,189.23,188.9,184.61
9:39:00,880.0102572,869.773023,869.5794941,900.3039915,189.02,189.04,184.68
9:39:02,878.0569384,866.2745695,869.9313118,897.5878932,189.24,188.72,184.78
9:39:04,878.8039267,868.8468624,870.6919082,896.5371398,188.98,188.72,185.04
9:39:06,879.55203,868.3770218,871.9416988,897.9810997,189.15,188.64,184.94
9:39:08,879.4661821,868.4953269,870.8862456,898.6518636,189.12,188.78,184.84
9:39:10,879.3914832,868.5832108,871.3988943,897.8390167,189.1,188.7,184.94
9:39:12,879.0759643,867.8869002,870.6282459,898.3445678,189.15,188.76,184.82
9:39:14,879.4293901,868.4919468,871.8244262,897.6209358,189.12,188.64,184.98
9:39:16,879.6824742,868.6372932,871.693751,898.3577848,189.13,188.7,184.91
9:39:18,879.4449988,868.4175835,871.2916736,898.2652657,189.13,188.72,184.89
9:39:20,878.5909793,869.0496713,869.2042218,897.1748612,188.92,188.9,184.92
9:39:22,878.7046999,867.6671906,869.7202211,898.3544806,189.13,188.84,184.77
9:39:24,878.5385786,868.4649056,869.636455,897.1649485,189,188.83,184.91
9:39:26,879.2353961,867.1905897,871.4759591,898.6617764,189.27,188.67,184.8
9:39:28,878.8373739,869.0192499,870.5779863,896.5800952,188.96,188.74,185.04
9:39:30,879.6858189,870.8005881,870.9733624,896.9633888,188.83,188.8,185.11
9:39:32,878.7738242,868.6474336,870.6148434,896.7188739,189,188.72,185.01
9:39:34,879.5241573,869.2998023,868.8222483,900.0726936,189.02,189.08,184.64
9:39:36,879.114986,869.3741655,870.2931814,897.3367698,188.95,188.82,184.97
9:39:38,880.666938,870.8479102,873.345619,897.4854613,188.96,188.6,185.18
9:39:40,878.4471561,870.3442681,867.683029,896.9832144,188.72,189.09,184.92
9:39:42,880.4350371,869.066572,872.4979058,899.3754956,189.18,188.69,184.87
9:39:44,878.9120728,870.8614308,871.0973362,894.4885012,188.71,188.67,185.35
9:39:46,879.3067502,870.7836874,870.1625063,896.656093,188.77,188.86,185.1
9:39:48,879.1618122,870.9763559,869.438767,896.7519165,188.73,188.94,185.06
9:39:50,880.2967885,870.4896145,873.1110739,896.9699974,188.96,188.58,185.19
9:39:52,880.5219999,870.1414592,870.6550511,900.399815,189.04,188.96,184.74
9:39:54,879.9991081,870.3206071,871.2213101,898.1165741,188.94,188.81,184.99
9:39:56,879.4115516,871.5847826,870.1390518,896.2067142,188.68,188.88,185.18
9:39:58,879.1685016,869.4857104,870.8627911,896.8246101,188.94,188.74,185.05
9:40:00,879.8218377,870.6586219,871.8043223,896.6858314,188.86,188.7,185.17
9:40:02,880.5376086,871.3752134,872.0656726,897.8489294,188.86,188.77,185.11
9:40:04,879.4962846,870.4118711,871.5831798,896.1802802,188.85,188.69,185.19
9:40:06,879.8775831,870.7600264,871.9416988,896.616442,188.86,188.69,185.18
9:40:08,879.478446,871.4157752,870.4607137,896.2529738,188.71,188.84,185.18
9:40:10,879.9199496,871.0405787,870.1491037,898.2355274,188.82,188.95,184.96
